Player,All-Rounder Rating
Hardik Pandya,11361.921110000001
Tilak Varma,3956.161878
Pat Cummins,1103.1288105
Abhishek Sharma,3856.481467
Nitish Kumar Reddy,1315.9742279999998
Ravindra Jadeja,10984.073912
Shivam Dube,5602.6349953
Axar Patel,4453.1709664
Varun Chakravarthy,101.8508472
Andre Russell,13060.929324
Ramandeep Singh,278.56620000000004
Yashasvi Jaiswal,5675.5843936
Riyan Parag,1539.4891704000001
Sai Sudharsan,5018.486625000001
Rahul Tewatia,3153.2787896
M Shahrukh Khan,1063.5861912
Ayush Badoni,1481.1937140000002
Shashank Singh,1382.1742534000002
Liam Livingstone,2332.8437400000003
Ravichandran Ashwin,1033.6594320000002
Venkatesh Iyer,4185.9723834
Mitchell Marsh,4380.938994
Glenn Maxwell,10923.8705796
Harshal Patel,220.2887425
Rachin Ravindra,967.02543
Marcus Stoinis,6239.882727
Harpreet Brar,599.95072
Naman Dhir,40.0
Mahipal Lomror,547.0398080000001
Sameer Rizvi,32.4
Abdul Samad,1677.23712
Vijay Shankar,4644.796027200001
Ashutosh Sharma,1246.644576
Nishant Sindhu,10.0
Sam Curran,3639.8835531999994
Marco Jansen,201.4905336
Krunal Pandya,4416.3343372
Nitish Rana,9961.358287600002
Washington Sundar,849.232124
Anshul Kamboj,0.0
Arshad Khan,90.0763776
Darshan Nalkande,50.0311376
Suyash Prabhudessai,469.9032576
Anukul Roy,168.23712
Swapnil Singh,23.310000000000002
Sanvir Singh,0.0
Shahbaz Ahmed,904.8807839999998
Moeen Ali,3052.1342638
Tim David,3427.5559248000004
Deepak Hooda,3410.5802080000003
Will Jacks,374.532
Azmatullah Omarzai,72.61844
Sai Kishore,10.375246800000001
Romario Shepherd,153.5534168
Yudhvir Singh,3.24
Rajvardhan Hangargekar,16.912
Arshin Kulkarni,0.0
Shams Mulani,0.0
Lalit Yadav,459.43446400000005
Tom Curran,123.98681839999998
Krishnappa Gowtham,475.9592967
Mohammad Nabi,432.405915
Gulbadin Naib,0.0
Mitchell Santner,29.363469199999997
Jayant Yadav,85.2111199
Priyansh Arya,0.0
Manoj Bhandage,0.0
Praveen Dubey,0.0
Ajay Mandal,0.0
Prerak Mankad,66.020625
Vipraj Nigam,0.0
Vicky Ostwal,0.0
Sean Abbott,17.28
Jacob Bethell,0.0
Brydon Carse,0.0
Aaron Hardie,0.0
Kamindu Mendis,0.0
Raj Bawa,26.62
Musheer Khan,0.0
Manvanth Kumar,0.0
Mayank Rawat,0.0
Suryansh Shedge,0.0
Hrithik Shokeen,46.36977
Sonu Yadav,0.0
Qais Ahmad,0.0
Charith Asalanka,0.0
Gudakesh Motie,0.0
Dan Mousley,0.0
Jamie Overton,0.0
Dunith Wellalage,0.0
KC Cariappa,0.268
Yuvraj Chaudhary,0.0
Aman Khan,34.13248
Sumit Kumar,0.0
Kamlesh Nagarkoti,21.503
Hardik Raj,0.0
Harsh Tyagi,0.0
Cooper Connolly,0.0
Dushan Hemantha,0.0
Jason Holder,369.0563912
Karim Janat,0.0
James Neesham,188.634468
Daniel Sams,269.40817799999996
Will Sutherland,0.0
Krish Bhagat,0.0
Sohraab Dhaliwal,0.0
Harsh Dubey,0.0
Ramakrishna Ghosh,0.0
Ninad Rathva,0.0
Vivrant Sharma,255.71411899999995
Zakary Foulkes,0.0
Chris Green,195.07728
Shakib Al Hasan,2035.1755821999998
Mehidy Hasan Miraz,0.0
Wiaan Mulder,0.0
Dasun Shanaka,177.1561
Lone Nasir,0.0
Sudhesan Midhun,0.0
Abid Mushtaq,0.0
Mahesh Pithiya,0.0
Maramreddy Reddy,0.0
Jonty Sidhu,0.0
Ashton Agar,163.02315299999998
Junior Dala,0.0
Mahedi Hasan,0.0
Nangeyalia Kharote,0.0
Dan Lawrence,0.0
Kartik Chadha,0.0
Writtick Chatterjee,0.0
Prerit Dutta,0.0
Rajneesh Gurbani,0.0
Shubhang Hegde,0.0
Saransh Jain,0.0
Akash Vasisht,0.0
Alick Athanaze,0.0
Hilton Cartwright,0.0
Dominic Drakes,5.3773083999999995
Matthew Forde,0.0
Patrick Kruger,0.0
Michael Neser,0.0
Keemo Paul,25.27412
Odean Smith,79.09735500000001
Ajay Ahlawat,0.0
Corbin Bosch,0.0
Mayank Gusain,0.0
Mukhtar Hussain,0.0
Girinath Reddy,0.0
Jalaj Saxena,0.0
Yajas Sharma,0.0
Mohamed Ali,0.0
Atharva Ankolekar,0.0
Vaisakh Chandran,0.0
Auqib Nabi,0.0
Rohit Rayudu,0.0
Uday Saharan,0.0
Ayush Vartak,0.0
Baba Aparajith,0.0
Sumit Beniwal,0.0
Nishunk Birla,0.0
Lakshay Jain,0.0
Duan Jansen,0.0
Kritagya Singh,0.0
P Vignesh,0.0
Sabhay Chadha,0.0
Benny Howell,0.0
Hemanth Kumar,0.0
Rohan Rana,0.0
Bharat Sharma,0.0
Pratham Singh,0.0
Tripurana Vijay,0.0
Ravi Kumar Yadav,0.0
Arjun Azad,0.0
Abhay Choudhary,0.0
Gaurav Gambhir,0.0
Shubham Garhwal,0.0
Tejasvi Jaiswal,4915.457937500001
Sairaj Patil,0.0
Madhav Tiwari,0.0
Kamal Tripathi,0.0
Prashant Chauhan,0.0
Dhruv Kaushik,0.0
